id;name;description;start_date;decision_duration;evaluation_duration;collaboration_state
1;Realigned Rubber Tuna;Re-engineered Buckinghamshire defect;2023-06-14;50973;54918;TERMINATED
2;TCP;Assistant;2023-06-13;40028;39857;SUSPENDED
3;user-centric Avon Managed;Tools mobile generate;2023-06-14;98902;91474;ACTIVE
4;Representative Turkish;workforce Generic violet;2023-06-14;63881;70927;ACTIVE
5;interfaces Executive;Small Bacon;2023-06-14;68424;58561;ACTIVE
6;Bypass Steel paradigms;paradigms Granite conglomeration;2023-06-13;31962;45944;ACTIVE
7;Courts Product Loan;Loan Frozen bricks-and-clicks;2023-06-14;4338;33436;ACTIVE
8;Steel Granite;Forward;2023-06-13;61976;73493;TERMINATED
9;hacking;Designer;2023-06-13;96447;68235;ACTIVE
10;COM;Ball;2023-06-14;65950;9769;ACTIVE
