id;name;description;creation_date;proposal_state;user_id
1;Car;Handcrafted;2023-06-14;REJECTED;1
2;mobile microchip disintermediate;deposit;2023-06-14;REJECTED;2
3;Gorgeous Cheese;Berkshire Applications Borders;2023-06-13;ACCEPTED;2
4;calculating Fields Metrics;web-readiness Bacon;2023-06-13;PENDING;2
5;up Villages;technologies Licensed;2023-06-14;REJECTED;2
6;Account technologies;Liaison grow mission-critical;2023-06-13;PENDING;2
7;Islands Stand-alone;Reduced Future orchid;2023-06-13;REJECTED;2
8;Dollar Hawaii bypassing;Dirham Valleys;2023-06-14;ACCEPTED;1
9;Up-sized;Cambridgeshire Configuration;2023-06-14;REJECTED;2
10;invoice;Borders Incredible back-end;2023-06-14;ACCEPTED;2
