id;name;description;probability;reference;ref_id
1;payment Islands;one-to-one Tasty;34576;ATTACK;solution SCSI Kuwaiti
2;synergy;solution-oriented uniform holistic;1011;ATTACK;withdrawal framework
3;Refined Account;Shoes invoice;41178;OTHER;solid
4;optimize;reboot;19463;CAPEC;neural
5;Identity matrix;best-of-breed Senior Mews;24168;OTHER;Marino grey Games
6;Assimilated Connecticut;Baby SMTP;56102;CAPEC;New Guyana
7;holistic;state Bedfordshire clear-thinking;65690;ATTACK;Union
8;Suriname Multi-layered e-markets;turquoise;17216;OTHER;Kansas Analyst
9;Republic sticky;Tools Facilitator South;47710;ATTACK;web
10;architectures;synthesize payment;40321;ATTACK;Greenland Luxembourg
